ClientUsername,ClientIPAddress,ClientMACAddress,AssociationTime,APName,APMACAddress,SessionDuration,AvgSessionThroughputKbps,BytesSent,BytesReceived,DisassociationTime,TotalTime,Clusters
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 12:19:26 BRST 2017,P01-A05-AP2-SMA,78:da:6e:e8:65:d0,5 min 0 sec,8.2,69805,236970,Wed Nov 29 12:24:26 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 12:14:25 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0.6,6958,17028,Wed Nov 29 12:19:26 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 11:59:24 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Wed Nov 29 12:04:24 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 11:49:23 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,10 min 0 sec,0,0,0,Wed Nov 29 11:59:24 BRST 2017,601.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 11:44:23 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,3.3,35373,87329,Wed Nov 29 11:49:23 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 11:34:22 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0.2,2992,2009,Wed Nov 29 11:39:22 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 11:19:20 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Wed Nov 29 11:24:20 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 11:09:19 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Wed Nov 29 11:14:19 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 11:04:19 BRST 2017,P01-A05-AP2-SMA,78:da:6e:e8:65:d0,5 min 0 sec,1.2,22922,21761,Wed Nov 29 11:09:19 BRST 2017,300.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 10:59:18 BRST 2017,P01-A03-AP1-Dir_A,18:9c:5d:44:af:80,5 min 0 sec,0,0,0,Wed Nov 29 11:04:19 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 10:54:17 BRST 2017,P01-A01-AP1-SMA_Juridico,78:da:6e:eb:ac:20,5 min 0 sec,1.6,18663,40147,Wed Nov 29 10:59:18 BRST 2017,301.0,0
3981,172.24.1.1,f4:f5:24:eb:af:ec,Wed Nov 29 10:34:15 BRST 2017,P06-A01-AP1-ETGC,78:da:6e:e8:64:60,20 min 2 sec,0,0,0,Wed Nov 29 10:54:17 BRST 2017,1202.0,0
